priority,cluster,primary_keyword,secondary_keywords,search_intent,funnel_stage,target_url,page_status,recommended_action,primary_conversion,serp_signal
P0,Category,voice agent evaluation software,"voice AI evaluation software; AI voice agent evaluation platform",Commercial investigation,Bottom,/voice-ai-evaluation,Existing,"Expand into the main category landing page with workflow, evidence, metrics, deployment, and visible FAQs",Design-partner application,"Commercial vendors and tool-comparison pages dominate"
P0,Differentiation,self-hosted voice AI evaluation,"self-hosted voice agent evaluation; on-premise voice agent evaluation",Commercial investigation,Bottom,/,Existing,"Keep as the homepage topic and make self-hosting plus production-call evidence explicit above the fold",Design-partner application,"Mixed SERP with few pages directly matching the full intent"
P0,QA workflow,voice agent QA,"voice AI QA; production voice agent QA; voice agent quality assurance",Informational and commercial,Middle,/voice-agent-qa,Existing,"Expand into the authoritative production QA operating workflow",Design-partner application,"Vendor guides and QA platforms dominate"
P0,Source available,source available voice agent evaluation,"voice agent evaluation source code; voice agent evaluation GitHub",Commercial investigation,Bottom,/open-source,Existing,"Explain repository capabilities, license limits, and how to request permission",GitHub visit,"Source-available and open-source frameworks appear for adjacent self-hosted queries"
P0,Metrics,voice agent evaluation metrics,"voice AI evaluation metrics; conversational AI voice metrics",Informational,Middle,/resources/evaluation-metrics,Existing,"Add metric definitions, scoring examples, evidence requirements, and calibration guidance",Design-partner application,"Metrics are a recurring subtopic across vendor and provider results"
P0,Integration,ElevenLabs voice agent evaluation,"ElevenLabs conversation evaluation; evaluate ElevenLabs agents",Commercial investigation,Bottom,/integrations/elevenlabs,Existing,"Differentiate around imported production conversations and self-hosted evidence review",Design-partner application,"ElevenLabs documentation dominates; testing vendors also rank"
P0,Integration,Vapi voice agent evaluation,"Vapi call evaluation; evaluate Vapi voice agents",Commercial investigation,Bottom,/integrations/vapi,Existing,"Differentiate around imported production-call review rather than duplicating Vapi docs",Design-partner application,"Vapi documentation dominates; vendor integration pages also rank"
P0,Technical discovery,VaaniEval,"VaaniEval voice agent evaluation; VaaniEval GitHub",Navigational,Bottom,/,Existing,"Resolve indexation first and keep organization and repository naming consistent",GitHub visit,"A site-restricted Google search returned no indexed pages"
P1,Education,how to evaluate voice agents,"how to evaluate a voice AI agent; voice agent evaluation process",Informational,Top,/blog/how-to-evaluate-production-voice-agents,New,"Create a comprehensive production evaluation guide with an example scorecard and review loop",Design-partner application,"How-to guides are prominent across QA-related SERPs"
P1,Testing,voice agent testing,"AI voice agent testing; test voice AI agents",Informational and commercial,Middle,/blog/voice-agent-testing-vs-production-evaluation,New,"Explain pre-release testing versus production-call evaluation without claiming simulation features",Design-partner application,"A strong adjacent head term with vendor pages and provider documentation"
P1,Testing,voice agent testing vs evaluation,"voice AI testing vs evaluation; voice agent QA vs testing",Informational,Middle,/blog/voice-agent-testing-vs-production-evaluation,New,"Use a comparison framework and route production evaluation intent to the product page",Design-partner application,"Clarifies VaaniEval's position in a testing-heavy SERP"
P1,Regression,voice agent regression testing,"voice AI regression testing; regression test voice agents",Informational,Middle,/blog/voice-agent-regression-testing,New,"Show how to re-evaluate historical examples and new production calls after changes",Design-partner application,"Directly aligned with the product's verify-improvements workflow"
P1,Safety,voice agent hallucination detection,"detect unsupported claims in voice agents; voice AI hallucination evaluation",Informational,Middle,/blog/voice-agent-hallucination-detection,New,"Publish an evidence-led rubric for unsupported claims and human review",Design-partner application,"Aligned with supported evaluation themes and a concrete failure mode"
P1,Metrics,voice agent task completion metrics,"task success rate voice agent; voice agent resolution quality",Informational,Middle,/blog/voice-agent-task-completion-metrics,New,"Define task completion versus resolution quality with scored examples",Design-partner application,"Narrow metric intent supports the broader metrics page"
